id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-04-19 12:10:42,"{""short_code"":""6PRuBx"",""original_url"":""https://opswise.net/jade/meadow/1""}"
2,2,3,created,2025-03-10 18:11:14,"{""short_code"":""R4dwMz"",""original_url"":""https://opswise.net/gold/river/2""}"
3,3,11,created,2025-12-20 18:51:42,"{""short_code"":""AlzZKi"",""original_url"":""https://acme.dev/mellow/anchor/3""}"
4,4,283,created,2026-01-27 18:40:10,"{""short_code"":""RrK5bP"",""original_url"":""https://seeded.app/lively/beacon/4""}"
5,5,246,created,2025-03-24 05:43:28,"{""short_code"":""aPLrxQ"",""original_url"":""https://hackstack.io/gold/harvest/5""}"
6,6,306,created,2026-01-07 20:28:44,"{""short_code"":""hUDnoc"",""original_url"":""https://relay.cloud/urban/valley/6""}"
7,7,121,created,2025-10-27 21:00:35,"{""short_code"":""IjCKLE"",""original_url"":""https://seeded.app/dawn/yard/7""}"
8,8,172,created,2025-02-23 07:57:27,"{""short_code"":""0iLR4E"",""original_url"":""https://hackstack.io/rapid/valley/8""}"
9,9,45,created,2025-07-07 19:14:46,"{""short_code"":""5TZ4pU"",""original_url"":""https://acme.dev/harbor/uplink/9""}"
10,10,110,created,2025-08-07 18:57:02,"{""short_code"":""qa6lSJ"",""original_url"":""https://hackstack.io/young/meadow/10""}"
11,11,254,created,2025-04-20 04:27:11,"{""short_code"":""0SmDRC"",""original_url"":""https://opswise.net/silver/meadow/11""}"
12,12,151,created,2025-10-19 06:38:30,"{""short_code"":""xdy5qm"",""original_url"":""https://opswise.net/tidy/orbit/12""}"
13,13,218,created,2025-11-27 21:48:20,"{""short_code"":""LXTqHI"",""original_url"":""https://acme.dev/tidy/trail/13""}"
14,14,293,created,2025-09-24 22:44:52,"{""short_code"":""z2PGHw"",""original_url"":""https://hackstack.io/quiet/delta/14""}"
15,15,309,created,2025-11-17 06:39:27,"{""short_code"":""Pw0Dcl"",""original_url"":""https://hackstack.io/jade/network/15""}"
16,16,384,created,2025-02-19 00:33:27,"{""short_code"":""QAEadv"",""original_url"":""https://acme.dev/urban/garden/16""}"
17,17,181,created,2025-05-24 16:12:42,"{""short_code"":""OzsMKL"",""original_url"":""https://relay.cloud/cobalt/window/17""}"
18,18,189,created,2025-05-14 23:22:37,"{""short_code"":""bQoUHB"",""original_url"":""https://seeded.app/opal/journey/18""}"
19,19,391,created,2025-06-19 06:19:55,"{""short_code"":""L0ymG4"",""original_url"":""https://seeded.app/forest/journey/19""}"
